snapshot,currency,revision_1m_bp,rank,universe_size,bucket,registered_full_g10
2023-01-31,SEK,3.7775779392546838,1,9,TOP2,False
2023-01-31,CHF,-2.497194646185605,2,9,TOP2,False
2023-01-31,USD,-9.39955229417366,3,9,MIDDLE,False
2023-01-31,GBP,-10.42682695639715,4,9,MIDDLE,False
2023-01-31,AUD,-13.172206981875604,5,9,MIDDLE,False
2023-01-31,EUR,-17.54687506428263,6,9,MIDDLE,False
2023-01-31,NOK,-22.05437335875871,7,9,MIDDLE,False
2023-01-31,CAD,-24.8052904476692,8,9,BOTTOM2,False
2023-01-31,NZD,-28.7596886336964,9,9,BOTTOM2,False
2023-02-28,CHF,2.1601749314461074,1,9,TOP2,False
2023-02-28,AUD,0.19284020907225852,2,9,TOP2,False
2023-02-28,CAD,-8.864355751194331,3,9,MIDDLE,False
2023-02-28,SEK,-20.5328322733245,4,9,MIDDLE,False
2023-02-28,NOK,-28.92128412264488,5,9,MIDDLE,False
2023-02-28,NZD,-33.06513003075928,6,9,MIDDLE,False
2023-02-28,GBP,-33.52804880471734,7,9,MIDDLE,False
2023-02-28,EUR,-38.74447282264617,8,9,BOTTOM2,False
2023-02-28,USD,-46.63866651697694,9,9,BOTTOM2,False
2023-03-31,NOK,13.58359759222677,1,9,TOP2,False
2023-03-31,NZD,-3.459576045656405,2,9,TOP2,False
2023-03-31,CHF,-5.1930348253617495,3,9,MIDDLE,False
2023-03-31,AUD,-10.965307078253531,4,9,MIDDLE,False
2023-03-31,EUR,-23.787351513216294,5,9,MIDDLE,False
2023-03-31,SEK,-24.953766549996544,6,9,MIDDLE,False
2023-03-31,USD,-27.651421376792918,7,9,MIDDLE,False
2023-03-31,GBP,-40.2511831348026,8,9,BOTTOM2,False
2023-03-31,CAD,-45.0977984295265,9,9,BOTTOM2,False
2023-04-30,NZD,15.553211620931911,1,9,TOP2,False
2023-04-30,GBP,2.8747383023595745,2,9,TOP2,False
2023-04-30,AUD,-0.6007310919392239,3,9,MIDDLE,False
2023-04-30,SEK,-3.733579960655149,4,9,MIDDLE,False
2023-04-30,USD,-6.241056161007528,5,9,MIDDLE,False
2023-04-30,CHF,-11.868552564081,6,9,MIDDLE,False
2023-04-30,NOK,-18.218357769786614,7,9,MIDDLE,False
2023-04-30,EUR,-28.09367938701655,8,9,BOTTOM2,False
2023-04-30,CAD,-30.429566113055422,9,9,BOTTOM2,False
2023-05-31,NOK,6.727220560490608,1,9,TOP2,False
2023-05-31,CHF,-3.1701059094264608,2,9,TOP2,False
2023-05-31,CAD,-23.83280926030615,3,9,MIDDLE,False
2023-05-31,EUR,-27.452384487486817,4,9,MIDDLE,False
2023-05-31,USD,-29.052050327685333,5,9,MIDDLE,False
2023-05-31,AUD,-36.94482623537075,6,9,MIDDLE,False
2023-05-31,GBP,-37.11211729822295,7,9,MIDDLE,False
2023-05-31,NZD,-43.10616909726051,8,9,BOTTOM2,False
2023-05-31,SEK,-45.34763639421995,9,9,BOTTOM2,False
2023-06-30,CAD,7.485164532590815,1,9,TOP2,False
2023-06-30,NZD,-0.9642434333123617,2,9,TOP2,False
2023-06-30,NOK,-3.971892292549196,3,9,MIDDLE,False
