snapshot,pair,base,quote,level_divergence_bp,revision_divergence_bp,context,primary_eligible,registered_full_g10
2023-01-31,AUDCAD,AUD,CAD,54.1891884754336,11.633083465793597,BASE_HAWKISH,True,False
2023-01-31,AUDCHF,AUD,CHF,54.335828399869634,-10.675012335689999,TRANSITION,False,False
2023-01-31,EURAUD,EUR,AUD,27.09103067721206,-4.374668082407027,TRANSITION,False,False
2023-01-31,GBPAUD,GBP,AUD,40.15058907760498,2.745380025478454,BASE_HAWKISH,True,False
2023-01-31,AUDNOK,AUD,NOK,54.9507283302938,8.882166376883106,BASE_HAWKISH,True,False
2023-01-31,AUDNZD,AUD,NZD,28.8750159090592,15.587481651820795,BASE_HAWKISH,True,False
2023-01-31,AUDSEK,AUD,SEK,-29.415746061131912,-16.949784921130288,BASE_DOVISH,True,False
2023-01-31,AUDUSD,AUD,USD,39.600558241981474,-3.7726546877019445,TRANSITION,False,False
2023-01-31,CADCHF,CAD,CHF,0.14663992443603036,-22.308095801483596,TRANSITION,False,False
2023-01-31,EURCAD,EUR,CAD,81.28021915264566,7.25841538338657,BASE_HAWKISH,True,False
2023-01-31,GBPCAD,GBP,CAD,94.33977755303857,14.37846349127205,BASE_HAWKISH,True,False
2023-01-31,CADNOK,CAD,NOK,0.7615398548601959,-2.750917088910491,TRANSITION,False,False
2023-01-31,NZDCAD,NZD,CAD,25.314172566374403,-3.9543981860271984,TRANSITION,False,False
2023-01-31,CADSEK,CAD,SEK,-83.60493453656551,-28.582868386923884,BASE_DOVISH,True,False
2023-01-31,USDCAD,USD,CAD,14.588630233452129,15.405738153495541,BASE_HAWKISH,True,False
2023-01-31,EURCHF,EUR,CHF,81.4268590770817,-15.049680418097026,TRANSITION,False,False
2023-01-31,GBPCHF,GBP,CHF,94.48641747747462,-7.929632310211545,TRANSITION,False,False
2023-01-31,CHFNOK,CHF,NOK,0.6148999304241656,19.557178712573105,BASE_HAWKISH,True,False
2023-01-31,NZDCHF,NZD,CHF,25.460812490810433,-26.262493987510794,TRANSITION,False,False
2023-01-31,CHFSEK,CHF,SEK,-83.75157446100155,-6.274772585440289,BASE_DOVISH,True,False
2023-01-31,USDCHF,USD,CHF,14.73527015788816,-6.902357647988055,TRANSITION,False,False
2023-01-31,EURGBP,EUR,GBP,-13.059558400392916,-7.120048107885481,BASE_DOVISH,True,False
2023-01-31,EURNOK,EUR,NOK,82.04175900750586,4.507498294476079,BASE_HAWKISH,True,False
2023-01-31,EURNZD,EUR,NZD,55.96604658627126,11.212813569413768,BASE_HAWKISH,True,False
2023-01-31,EURSEK,EUR,SEK,-2.3247153839198518,-21.324453003537315,BASE_DOVISH,True,False
2023-01-31,EURUSD,EUR,USD,66.69158891919353,-8.147322770108971,TRANSITION,False,False
2023-01-31,GBPNOK,GBP,NOK,95.10131740789878,11.62754640236156,BASE_HAWKISH,True,False
2023-01-31,GBPNZD,GBP,NZD,69.02560498666418,18.33286167729925,BASE_HAWKISH,True,False
2023-01-31,GBPSEK,GBP,SEK,10.734843016473064,-14.204404895651834,TRANSITION,False,False
2023-01-31,GBPUSD,GBP,USD,79.75114731958645,-1.0272746622234905,TRANSITION,False,False
2023-01-31,NZDNOK,NZD,NOK,26.0757124212346,-6.705315274937689,TRANSITION,False,False
2023-01-31,NOKSEK,NOK,SEK,-84.36647439142571,-25.831951298013394,BASE_DOVISH,True,False
2023-01-31,USDNOK,USD,NOK,15.350170088312325,12.65482106458505,BASE_HAWKISH,True,False
2023-01-31,NZDSEK,NZD,SEK,-58.29076197019111,-32.53726657295108,BASE_DOVISH,True,False
2023-01-31,NZDUSD,NZD,USD,10.725542332922274,-19.36013633952274,TRANSITION,False,False
2023-01-31,USDSEK,USD,SEK,-69.01630430311339,-13.177130233428343,BASE_DOVISH,True,False
2023-02-28,AUDCAD,AUD,CAD,63.24638443570019,9.05719596026659,BASE_HAWKISH,True,False
2023-02-28,AUDCHF,AUD,CHF,52.368493677495785,-1.9673347223738489,TRANSITION,False,False
2023-02-28,EURAUD,EUR,AUD,-11.846282354506371,-38.93731303171843,BASE_DOVISH,True,False
2023-02-28,GBPAUD,GBP,AUD,6.429700063815375,-33.7208890137896,TRANSITION,False,False
2023-02-28,AUDNOK,AUD,NOK,84.06485266201094,29.11412433171714,BASE_HAWKISH,True,False
2023-02-28,AUDNZD,AUD,NZD,62.13298614889074,33.257970239831536,BASE_HAWKISH,True,False
2023-02-28,AUDSEK,AUD,SEK,-8.690073578735152,20.72567248239676,TRANSITION,False,False
2023-02-28,AUDUSD,AUD,USD,86.43206496803067,46.8315067260492,BASE_HAWKISH,True,False
2023-02-28,CADCHF,CAD,CHF,-10.877890758204408,-11.024530682640439,BASE_DOVISH,True,False
2023-02-28,EURCAD,EUR,CAD,51.40010208119382,-29.880117071451842,TRANSITION,False,False
2023-02-28,GBPCAD,GBP,CAD,69.67608449951557,-24.663693053523012,TRANSITION,False,False
2023-02-28,CADNOK,CAD,NOK,20.818468226310745,20.05692837145055,BASE_HAWKISH,True,False
2023-02-28,NZDCAD,NZD,CAD,1.1133982868094563,-24.200774279564946,TRANSITION,False,False
2023-02-28,CADSEK,CAD,SEK,-71.93645801443535,11.66847652213017,TRANSITION,False,False
2023-02-28,USDCAD,USD,CAD,-23.185680532330476,-37.77431076578261,BASE_DOVISH,True,False
2023-02-28,EURCHF,EUR,CHF,40.52221132298941,-40.90464775409228,TRANSITION,False,False
2023-02-28,GBPCHF,GBP,CHF,58.79819374131116,-35.68822373616345,TRANSITION,False,False
2023-02-28,CHFNOK,CHF,NOK,31.696358984515154,31.08145905409099,BASE_HAWKISH,True,False
2023-02-28,NZDCHF,NZD,CHF,-9.764492471394952,-35.225304962205385,BASE_DOVISH,True,False
2023-02-28,CHFSEK,CHF,SEK,-61.05856725623094,22.69300720477061,TRANSITION,False,False
2023-02-28,USDCHF,USD,CHF,-34.06357129053488,-48.79884144842305,BASE_DOVISH,True,False
2023-02-28,EURGBP,EUR,GBP,-18.275982418321746,-5.21642401792883,BASE_DOVISH,True,False
2023-02-28,EURNOK,EUR,NOK,72.21857030750456,-9.823188700001293,TRANSITION,False,False
2023-02-28,EURNZD,EUR,NZD,50.286703794384366,-5.679342791886896,TRANSITION,False,False
2023-02-28,EURSEK,EUR,SEK,-20.536355933241524,-18.21164054932167,BASE_DOVISH,True,False
2023-02-28,EURUSD,EUR,USD,74.5857826135243,7.894193694330767,BASE_HAWKISH,True,False
2023-02-28,GBPNOK,GBP,NOK,90.49455272582631,-4.606764682072463,TRANSITION,False,False
2023-02-28,GBPNZD,GBP,NZD,68.56268621270611,-0.4629187739580658,TRANSITION,False,False
2023-02-28,GBPSEK,GBP,SEK,-2.2603735149197774,-12.995216531392842,BASE_DOVISH,True,False
2023-02-28,GBPUSD,GBP,USD,92.86176503184605,13.110617712259597,BASE_HAWKISH,True,False
2023-02-28,NZDNOK,NZD,NOK,21.9318665131202,-4.143845908114397,TRANSITION,False,False
2023-02-28,NOKSEK,NOK,SEK,-92.75492624074609,-8.38845184932038,BASE_DOVISH,True,False
2023-02-28,USDNOK,USD,NOK,-2.3672123060197308,-17.71738239433206,BASE_DOVISH,True,False
2023-02-28,NZDSEK,NZD,SEK,-70.82305972762589,-12.532297757434776,BASE_DOVISH,True,False
2023-02-28,NZDUSD,NZD,USD,24.299078819139933,13.573536486217662,BASE_HAWKISH,True,False
2023-02-28,USDSEK,USD,SEK,-95.12213854676583,-26.10583424365244,BASE_DOVISH,True,False
2023-03-31,AUDCAD,AUD,CAD,97.37887578697317,34.13249135127297,BASE_HAWKISH,True,False
2023-03-31,AUDCHF,AUD,CHF,46.596221424604,-5.772272252891781,TRANSITION,False,False
2023-03-31,EURAUD,EUR,AUD,-24.668326789469134,-12.822044434962763,BASE_DOVISH,True,False
2023-03-31,GBPAUD,GBP,AUD,-22.856175992733696,-29.28587605654907,BASE_DOVISH,True,False
2023-03-31,AUDNOK,AUD,NOK,59.51594799153064,-24.5489046704803,TRANSITION,False,False
2023-03-31,AUDNZD,AUD,NZD,54.62725511629361,-7.505731032597126,TRANSITION,False,False
2023-03-31,AUDSEK,AUD,SEK,5.298385893007861,13.988459471743013,BASE_HAWKISH,True,False
2023-03-31,AUDUSD,AUD,USD,103.11817926657005,16.686114298539387,BASE_HAWKISH,True,False
2023-03-31,CADCHF,CAD,CHF,-50.78265436236916,-39.90476360416475,BASE_DOVISH,True,False
2023-03-31,EURCAD,EUR,CAD,72.71054899750403,21.310446916310205,BASE_HAWKISH,True,False
2023-03-31,GBPCAD,GBP,CAD,74.52269979423947,4.846615294723897,BASE_HAWKISH,True,False
2023-03-31,CADNOK,CAD,NOK,-37.86292779544252,-58.68139602175327,BASE_DOVISH,True,False
2023-03-31,NZDCAD,NZD,CAD,42.75162067067955,41.638222383870094,BASE_HAWKISH,True,False
2023-03-31,CADSEK,CAD,SEK,-92.08048989396531,-20.144031879529955,BASE_DOVISH,True,False
2023-03-31,USDCAD,USD,CAD,-5.739303479596893,17.44637705273358,TRANSITION,False,False
2023-03-31,EURCHF,EUR,CHF,21.92789463513487,-18.594316687854544,TRANSITION,False,False
2023-03-31,GBPCHF,GBP,CHF,23.740045431870307,-35.05814830944085,TRANSITION,False,False
2023-03-31,CHFNOK,CHF,NOK,12.919726566926634,-18.77663241758852,TRANSITION,False,False
2023-03-31,NZDCHF,NZD,CHF,-8.031033691689608,1.7334587797053445,TRANSITION,False,False
2023-03-31,CHFSEK,CHF,SEK,-41.29783553159614,19.760731724634795,TRANSITION,False,False
2023-03-31,USDCHF,USD,CHF,-56.521957841966056,-22.45838655143117,BASE_DOVISH,True,False
2023-03-31,EURGBP,EUR,GBP,-1.8121507967354376,16.46383162158631,TRANSITION,False,False
2023-03-31,EURNOK,EUR,NOK,34.847621202061504,-37.37094910544306,TRANSITION,False,False
2023-03-31,EURNZD,EUR,NZD,29.958928326824477,-20.32777546755989,TRANSITION,False,False
2023-03-31,EURSEK,EUR,SEK,-19.369940896461273,1.1664150367802506,TRANSITION,False,False
2023-03-31,EURUSD,EUR,USD,78.44985247710092,3.864069863576624,BASE_HAWKISH,True,False
2023-03-31,GBPNOK,GBP,NOK,36.65977199879694,-53.83478072702937,TRANSITION,False,False
2023-03-31,GBPNZD,GBP,NZD,31.771079123559915,-36.7916070891462,TRANSITION,False,False
2023-03-31,GBPSEK,GBP,SEK,-17.557790099725835,-15.297416584806058,BASE_DOVISH,True,False
2023-03-31,GBPUSD,GBP,USD,80.26200327383636,-12.599761758009684,TRANSITION,False,False
2023-03-31,NZDNOK,NZD,NOK,4.888692875237027,-17.043173637883175,TRANSITION,False,False
2023-03-31,NOKSEK,NOK,SEK,-54.21756209852278,38.53736414222331,TRANSITION,False,False
2023-03-31,USDNOK,USD,NOK,-43.602231275039415,-41.23501896901969,BASE_DOVISH,True,False
2023-03-31,NZDSEK,NZD,SEK,-49.32886922328575,21.49419050434014,TRANSITION,False,False
2023-03-31,NZDUSD,NZD,USD,48.49092415027644,24.191845331136513,BASE_HAWKISH,True,False
2023-03-31,USDSEK,USD,SEK,-97.81979337356219,-2.6976548267963736,BASE_DOVISH,True,False
2023-04-30,AUDCAD,AUD,CAD,127.20771080808936,29.8288350211162,BASE_HAWKISH,True,False
2023-04-30,AUDCHF,AUD,CHF,57.86404289674578,11.267821472141776,BASE_HAWKISH,True,False
2023-04-30,EURAUD,EUR,AUD,-52.16127508454646,-27.492948295077326,BASE_DOVISH,True,False
2023-04-30,GBPAUD,GBP,AUD,-19.380706598434898,3.4754693942987984,TRANSITION,False,False
2023-04-30,AUDNOK,AUD,NOK,77.13357466937802,17.61762667784739,BASE_HAWKISH,True,False
2023-04-30,AUDNZD,AUD,NZD,38.473312403422476,-16.153942712871135,TRANSITION,False,False
2023-04-30,AUDSEK,AUD,SEK,8.431234761723786,3.132848868715925,BASE_HAWKISH,True,False
2023-04-30,AUDUSD,AUD,USD,108.75850433563836,5.640325069068304,BASE_HAWKISH,True,False
2023-04-30,CADCHF,CAD,CHF,-69.34366791134357,-18.561013548974422,BASE_DOVISH,True,False
